Gene Symbol	Gene Product Name	GenBank Accession	Strain Name	Collection Date	Host	Country
NA	Neuraminidase	KX918894	A/Michigan/55/2016	2/28/2016	Human	USA
PB2	Polymerase basic protein 2	KX918889	A/Michigan/55/2016	2/28/2016	Human	USA
NA	Neuraminidase	CY238587	A/Michigan/55/2017	4/11/2017	Human	USA
PA	Polymerase acidic protein	CY238584	A/Michigan/55/2017	4/11/2017	Human	USA
PA-N155	PA-N155 protein(562)	CY238584	A/Michigan/55/2017	4/11/2017	Human	USA
PA-N182	PA-N182 protein(535)	CY238584	A/Michigan/55/2017	4/11/2017	Human	USA
NA	Neuraminidase	KX918902	A/Michigan/56/2016	3/7/2016	Human	USA
NA	Neuraminidase	CY238603	A/Michigan/56/2017	4/11/2017	Human	USA
NS1	Non-structural protein 1	CY238605	A/Michigan/56/2017	4/11/2017	Human	USA
NS2	Nuclear export protein	CY238605	A/Michigan/56/2017	4/11/2017	Human	USA
PA-N182	PA-N182 protein(535)	CY238600	A/Michigan/56/2017	4/11/2017	Human	USA
PA-N155	PA-N155 protein(562)	CY238600	A/Michigan/56/2017	4/11/2017	Human	USA
PA	Polymerase acidic protein	CY238600	A/Michigan/56/2017	4/11/2017	Human	USA
PA	Polymerase acidic protein	KX005105	A/Michigan/57/2015	10/5/2015	Human	USA
PA-N155	PA-N155 protein(562)	KX005105	A/Michigan/57/2015	10/5/2015	Human	USA
PA-N182	PA-N182 protein(535)	KX005105	A/Michigan/57/2015	10/5/2015	Human	USA
PA	Polymerase acidic protein	KU509573	A/Michigan/57/2015	10/5/2015	Human	USA
PA-N155	PA-N155 protein(562)	KU509573	A/Michigan/57/2015	10/5/2015	Human	USA
NA	Neuraminidase	KU509576	A/Michigan/57/2015	10/5/2015	Human	USA
HA	Hemagglutinin	KX005106	A/Michigan/57/2015	10/5/2015	Human	USA
PA-N182	PA-N182 protein(535)	KU509573	A/Michigan/57/2015	10/5/2015	Human	USA
PB2	Polymerase basic protein 2	KU509571	A/Michigan/57/2015	10/5/2015	Human	USA
M2	Matrix protein 2	KX005109	A/Michigan/57/2015	10/5/2015	Human	USA
PB2	Polymerase basic protein 2	KX005103	A/Michigan/57/2015	10/5/2015	Human	USA
PA	Polymerase acidic protein	KX918907	A/Michigan/57/2016	3/31/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX918907	A/Michigan/57/2016	3/31/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX918907	A/Michigan/57/2016	3/31/2016	Human	USA
HA	Hemagglutinin	KX918908	A/Michigan/57/2016	3/31/2016	Human	USA
NA	Neuraminidase	KX918910	A/Michigan/57/2016	3/31/2016	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KX918906	A/Michigan/57/2016	3/31/2016	Human	USA
PB1-N40	PB1-N40 protein(718)	KX918906	A/Michigan/57/2016	3/31/2016	Human	USA
PA	Polymerase acidic protein	CY234697	A/Michigan/57/2017	4/17/2017	Human	USA
HA	Hemagglutinin	CY234698	A/Michigan/57/2017	4/17/2017	Human	USA
PA-N182	PA-N182 protein(535)	CY234697	A/Michigan/57/2017	4/17/2017	Human	USA
PA-N155	PA-N155 protein(562)	CY234697	A/Michigan/57/2017	4/17/2017	Human	USA
NA	Neuraminidase	CY234700	A/Michigan/57/2017	4/17/2017	Human	USA
PB2	Polymerase basic protein 2	CY234695	A/Michigan/57/2017	4/17/2017	Human	USA
NP	Nucleoprotein	CY234699	A/Michigan/57/2017	4/17/2017	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KU591898	A/Michigan/58/2015	10/4/2015	Human	USA
PB1-N40	PB1-N40 protein(718)	KU591898	A/Michigan/58/2015	10/4/2015	Human	USA
HA	Hemagglutinin	KX918916	A/Michigan/58/2016	4/7/2016	Human	USA
NA	Neuraminidase	KX918918	A/Michigan/58/2016	4/7/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX918915	A/Michigan/58/2016	4/7/2016	Human	USA
PA	Polymerase acidic protein	KX918915	A/Michigan/58/2016	4/7/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX918915	A/Michigan/58/2016	4/7/2016	Human	USA
NS1	Non-structural protein 1	KX918920	A/Michigan/58/2016	4/7/2016	Human	USA
HA	Hemagglutinin	CY234706	A/Michigan/58/2017	5/1/2017	Human	USA
NA	Neuraminidase	CY234708	A/Michigan/58/2017	5/1/2017	Human	USA
PB2	Polymerase basic protein 2	CY234703	A/Michigan/58/2017	5/1/2017	Human	USA
PA-X	PA-X protein	KX416159	A/Michigan/59/2016	2/22/2016	Human	USA
-N/A-	Hemagglutinin	CY016329	A/Michigan/6/2003	2/2/2003	Human	USA
HA	Hemagglutinin	KX003377	A/Michigan/60/2015	10/5/2015	Human	USA
NP	Nucleoprotein	KY044002	A/Michigan/60/2015	10/5/2015	Human	USA
NA	Neuraminidase	KY044003	A/Michigan/60/2015	10/5/2015	Human	USA
NS1	Nonstructural protein 1	KX410431	A/Michigan/61/2016	2/27/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX410426	A/Michigan/61/2016	2/27/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX410426	A/Michigan/61/2016	2/27/2016	Human	USA
PA	Polymerase PA	KX410426	A/Michigan/61/2016	2/27/2016	Human	USA
PA-X	PA-X protein	KX410426	A/Michigan/61/2016	2/27/2016	Human	USA
NA	Neuraminidase	KX410429	A/Michigan/61/2016	2/27/2016	Human	USA
NP	Nucleoprotein	KU591301	A/Michigan/62/2015	9/29/2015	Human	USA
M1	Matrix protein 1	KU591303	A/Michigan/62/2015	9/29/2015	Human	USA
NP	Nucleocapsid protein	KX410708	A/Michigan/62/2016	3/4/2016	Human	USA
PB1	Polymerase PB1	KX410713	A/Michigan/63/2016	3/10/2016	Human	USA
PB1-N40	PB1-N40 protein(718)	KX410713	A/Michigan/63/2016	3/10/2016	Human	USA
NA	Neuraminidase	KX410717	A/Michigan/63/2016	3/10/2016	Human	USA
NP	Nucleoprotein	KX949325	A/Michigan/65/2015	10/24/2015	Human	USA
HA	Hemagglutinin	KX416376	A/Michigan/65/2016	3/4/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX416375	A/Michigan/65/2016	3/4/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX416375	A/Michigan/65/2016	3/4/2016	Human	USA
PA	Polymerase PA	KX416375	A/Michigan/65/2016	3/4/2016	Human	USA
NS1	Non-structural protein 1	KU591719	A/Michigan/66/2015	10/15/2015	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KU591714	A/Michigan/66/2015	10/15/2015	Human	USA
PB1-N40	PB1-N40 protein(718)	KU591714	A/Michigan/66/2015	10/15/2015	Human	USA
HA	Hemagglutinin	KX413303	A/Michigan/66/2015	10/15/2015	Human	USA
HA	Hemagglutinin	KY044491	A/Michigan/66/2016	3/15/2016	Human	USA
M2	Matrix protein 2	KY044493	A/Michigan/66/2016	3/15/2016	Human	USA
NA	Neuraminidase	KX416762	A/Michigan/66/2016	3/15/2016	Human	USA
HA	Hemagglutinin	KX413311	A/Michigan/67/2015	10/10/2015	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KU591721	A/Michigan/67/2015	10/10/2015	Human	USA
HA	Hemagglutinin	KX411395	A/Michigan/67/2016	3/14/2016	Human	USA
PB2	Polymerase PB2	KX411392	A/Michigan/67/2016	3/14/2016	Human	USA
PA	Polymerase PA	KX411394	A/Michigan/67/2016	3/14/2016	Human	USA
PA-X	PA-X protein	KX411394	A/Michigan/67/2016	3/14/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX411394	A/Michigan/67/2016	3/14/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX411394	A/Michigan/67/2016	3/14/2016	Human	USA
NEP	Nuclear export protein	KU509819	A/Michigan/68/2015	11/3/2015	Human	USA
NS1	Non-structural protein 1	KU509819	A/Michigan/68/2015	11/3/2015	Human	USA
HA	Hemagglutinin	KU509687	A/Michigan/68/2015	11/3/2015	Human	USA
PA-N182	PA-N182 protein(535)	KX411402	A/Michigan/68/2016	3/24/2016	Human	USA
PA	Polymerase PA	KX411402	A/Michigan/68/2016	3/24/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX411402	A/Michigan/68/2016	3/24/2016	Human	USA
NEP	Nuclear export protein	KX411407	A/Michigan/68/2016	3/24/2016	Human	USA
NEP	Nuclear export protein	KX918440	A/Michigan/69/2015	11/1/2015	Human	USA
NS1	Non-structural protein 1	KX918440	A/Michigan/69/2015	11/1/2015	Human	USA
NA	Neuraminidase	KX918438	A/Michigan/69/2015	11/1/2015	Human	USA
PB2	Polymerase basic protein 2	KX917393	A/Michigan/69/2016	3/31/2016	Human	USA
-N/A-	Hemagglutinin	EF473544	A/Michigan/7/2003	2003	Human	USA
NS1	Non-structural protein 1	KX005631	A/Michigan/70/2015	10/19/2015	Human	USA
NP	Nucleoprotein	KX005629	A/Michigan/70/2015	10/19/2015	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KY044496	A/Michigan/70/2016	4/4/2016	Human	USA
PB1-F2	Protein PB1-F2	KY044496	A/Michigan/70/2016	4/4/2016	Human	USA
PB1-N40	PB1-N40 protein(718)	KY044496	A/Michigan/70/2016	4/4/2016	Human	USA
PA	Polymerase acidic protein	KY044497	A/Michigan/70/2016	4/4/2016	Human	USA
HA	Hemagglutinin	KY044498	A/Michigan/70/2016	4/4/2016	Human	USA
PB1-N40	PB1-N40 protein(718)	KX416766	A/Michigan/70/2016	4/4/2016	Human	USA
NA	Neuraminidase	KX416770	A/Michigan/70/2016	4/4/2016	Human	USA
PA-N182	PA-N182 protein(535)	KX411410	A/Michigan/71/2016	3/28/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX411410	A/Michigan/71/2016	3/28/2016	Human	USA
PA	Polymerase PA	KX411410	A/Michigan/71/2016	3/28/2016	Human	USA
PB2	Polymerase PB2	KX411408	A/Michigan/71/2016	3/28/2016	Human	USA
HA	Hemagglutinin	KY044921	A/Michigan/72/2015	12/14/2015	Human	USA
NA	Neuraminidase	KX405965	A/Michigan/73/2015	12/14/2015	Human	USA
PB2	Polymerase basic protein 2	KX949184	A/Michigan/73/2016	4/18/2016	Human	USA
NA	Neuraminidase	KX919318	A/Michigan/73/2016	4/18/2016	Human	USA
HA	Hemagglutinin	KX004300	A/Michigan/74/2015	12/16/2015	Human	USA
NA	Neuraminidase	KX004302	A/Michigan/74/2015	12/16/2015	Human	USA
NS2	Nuclear export protein	KX004312	A/Michigan/75/2015	12/25/2015	Human	USA
NA	Neuraminidase	KX004310	A/Michigan/75/2015	12/25/2015	Human	USA
PB2	Polymerase basic protein 2	KX004305	A/Michigan/75/2015	12/25/2015	Human	USA
NS1	Non-structural protein 1	KX004312	A/Michigan/75/2015	12/25/2015	Human	USA
NS1	Non-structural protein 1	KY044256	A/Michigan/77/2015	11/15/2015	Human	USA
M2	Matrix protein 2	KX413732	A/Michigan/77/2015	11/15/2015	Human	USA
PA	Polymerase PA	KX413728	A/Michigan/77/2015	11/15/2015	Human	USA
PA-N155	PA-N155 protein(562)	KX413728	A/Michigan/77/2015	11/15/2015	Human	USA
PA-N182	PA-N182 protein(535)	KX413728	A/Michigan/77/2015	11/15/2015	Human	USA
PB2	Polymerase PB2	KX413726	A/Michigan/77/2015	11/15/2015	Human	USA
NA	Neuraminidase	KX413731	A/Michigan/77/2015	11/15/2015	Human	USA
PA-N155	PA-N155 protein(562)	KX413736	A/Michigan/78/2015	12/14/2015	Human	USA
PA-N182	PA-N182 protein(535)	KX413736	A/Michigan/78/2015	12/14/2015	Human	USA
PA	Polymerase PA	KX413736	A/Michigan/78/2015	12/14/2015	Human	USA
NA	Neuraminidase	KX413747	A/Michigan/78/2015	12/14/2015	Human	USA
NP	Nucleocapsid protein	KX413746	A/Michigan/78/2015	12/14/2015	Human	USA
HA	Hemagglutinin	KY115958	A/Michigan/78/2016	5/21/2016	Human	USA
PB2	Polymerase basic protein 2	KY003517	A/Michigan/81/2016	7/12/2016	Human	USA
HA	Hemagglutinin	KY003555	A/Michigan/81/2016	7/12/2016	Human	USA
NA	Neuraminidase	KX916910	A/Michigan/97/2016	8/17/2016	Human	USA
NP	Nucleoprotein	KY115975	A/Michigan/99/2016	8/24/2016	Human	USA
HA	Hemagglutinin	EU502240	A/Michigan/MI-M04VC-1066/2004	9/13/2004	Human	USA
HA	Hemagglutinin	EU502241	A/Michigan/MI-VC76/2003	1/15/2003	Human	USA
-N/A-	PB2 Polymerase (basic) protein 2	CY025228	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
PB1-N40	PB1-N40 protein(718)	CY025227	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
PA	Polymerase PA	CY025226	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
PA-N155	PA-N155 protein(562)	CY025226	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
PA-N182	PA-N182 protein(535)	CY025226	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
-N/A-	RNA-directed RNA polymerase catalytic subunit	CY025227	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
-N/A-	PB1-F2 protein	CY025227	A/Michigan/UR06-0015/2006	12/28/2006	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY176418	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
M2	Matrix protein 2	CY176413	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY176419	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY176417	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY176417	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PA-X	PA-X protein	CY176417	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PA	Polymerase PA	CY176417	A/Minneapolis/INS3_672/2012	3/1/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY176712	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY176712	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
HA	Hemagglutinin	CY176706	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY176711	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
PA	Polymerase PA	CY176711	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY176711	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY176713	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
NS1	Nonstructural protein 1	CY176710	A/Minneapolis/INS3_675/2012	2/27/2012	Human	USA
-N/A-	Hemagglutinin	EU851985	A/Minnesota/01/2008	1/15/2008	Human	USA
-N/A-	Hemagglutinin	GQ475996	A/Minnesota/01/2009	1/16/2009	Human	USA
-N/A-	Matrix protein 1	GQ475998	A/Minnesota/01/2009	1/16/2009	Human	USA
HA	Hemagglutinin	KC881624	A/Minnesota/01/2011	1/6/2011	Human	USA
NA	Neuraminidase	KT841179	A/Minnesota/01/2015	1/4/2015	Human	USA
-N/A-	Matrix protein 2	GQ369930	A/Minnesota/02/2008	1/11/2008	Human	USA
PB1-N40	PB1-N40 protein(718)	GQ117069	A/Minnesota/02/2009	4/27/2009	Human	USA
-N/A-	RNA-directed RNA polymerase catalytic subunit	GQ117069	A/Minnesota/02/2009	4/27/2009	Human	USA
PA	Polymerase PA	GQ457488	A/Minnesota/02/2009	4/27/2009	Human	USA
PA-N155	PA-N155 protein(562)	GQ457488	A/Minnesota/02/2009	4/27/2009	Human	USA
PA-N182	PA-N182 protein(535)	GQ457488	A/Minnesota/02/2009	4/27/2009	Human	USA
HA	Hemagglutinin	KC782004	A/Minnesota/02/2010	2/17/2010	Human	USA
NA	Neuraminidase	KC893105	A/Minnesota/02/2012	1/14/2012	Human	USA
HA	Hemagglutinin	KC893104	A/Minnesota/02/2012	1/14/2012	Human	USA
NA	Neuraminidase	KF647972	A/Minnesota/02/2013	3/1/2013	Human	USA
HA	Hemagglutinin	KF647964	A/Minnesota/02/2013	3/1/2013	Human	USA
NP	Nucleocapsid protein	KT841165	A/Minnesota/02/2015	1/7/2015	Human	USA
-N/A-	Nonstructural protein 1	GQ200219	A/Minnesota/03/2009	9-Apr	Human	USA
HA	Hemagglutinin	KC781335	A/Minnesota/03/2010	3/12/2010	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KC881903	A/Minnesota/03/2011	2/18/2011	Human	USA
PB1-N40	PB1-N40 protein(718)	KC881903	A/Minnesota/03/2011	2/18/2011	Human	USA
HA	Hemagglutinin	KC881972	A/Minnesota/03/2011	2/18/2011	Human	USA
HA	Hemagglutinin	KC881905	A/Minnesota/03/2011	2/18/2011	Human	USA
NP	Nucleocapsid protein	KC882139	A/Minnesota/03/2011	2/18/2011	Human	USA
NA	Neuraminidase	KC893117	A/Minnesota/03/2012	1/30/2012	Human	USA
HA	Hemagglutinin	KC893116	A/Minnesota/03/2012	1/30/2012	Human	USA
NA	Neuraminidase	CY214860	A/Minnesota/03/2017	1/9/2017	Human	USA
PA-N182	PA-N182 protein(535)	CY214857	A/Minnesota/03/2017	1/9/2017	Human	USA
PA-N155	PA-N155 protein(562)	CY214857	A/Minnesota/03/2017	1/9/2017	Human	USA
PA	Polymerase PA	CY214857	A/Minnesota/03/2017	1/9/2017	Human	USA
PB1-N40	PB1-N40 protein(718)	CY214856	A/Minnesota/03/2017	1/9/2017	Human	USA
PB1	Polymerase PB1	CY214856	A/Minnesota/03/2017	1/9/2017	Human	USA
HA	Hemagglutinin	EU199291	A/Minnesota/04/2007	1/27/2007	Human	USA
-N/A-	Hemagglutinin	EU779508	A/Minnesota/04/2008	1/21/2008	Human	USA
-N/A-	Hemagglutinin	GQ476145	A/Minnesota/04/2009	4/30/2009	Human	USA
HA	Hemagglutinin	KC782128	A/Minnesota/04/2010	3/22/2010	Human	USA
HA	Hemagglutinin	KC882953	A/Minnesota/04/2011	1/19/2011	Human	USA
NA	Neuraminidase	KC882952	A/Minnesota/04/2011	1/19/2011	Human	USA
NA	Neuraminidase	KF790382	A/Minnesota/04/2013	4/16/2013	Human	USA
HA	Hemagglutinin	KM064115	A/Minnesota/04/2014	3/10/2014	Human	USA
HA	Hemagglutinin	KT836745	A/Minnesota/04/2015	2/12/2015	Human	USA
PB2	Polymerase PB2	KT836748	A/Minnesota/04/2015	2/12/2015	Human	USA
NA	Neuraminidase	KT836800	A/Minnesota/04/2015	2/12/2015	Human	USA
HA	Hemagglutinin	KP458116	A/Minnesota/05/2008	1/6/2008	Human	USA
-N/A-	Neuraminidase	EU885500	A/Minnesota/05/2008	1/6/2008	Human	USA
NA	Neuraminidase	KC535320	A/Minnesota/05/2009	5/4/2009	Human	USA
HA	Hemagglutinin	KC535319	A/Minnesota/05/2009	5/4/2009	Human	USA
HA	Hemagglutinin	KC882955	A/Minnesota/05/2011	1/21/2011	Human	USA
NA	Neuraminidase	KC882956	A/Minnesota/05/2011	1/21/2011	Human	USA
NA	Neuraminidase	KC893102	A/Minnesota/05/2012	3/8/2012	Human	USA
NA	Neuraminidase	KF789855	A/Minnesota/05/2013	7/12/2013	Human	USA
HA	Hemagglutinin	KF790155	A/Minnesota/05/2013	7/12/2013	Human	USA
PB2	polymerase PB2	CY216686	A/Minnesota/05/2017	1/19/2017	Human	USA
HA	hemagglutinin	CY216689	A/Minnesota/05/2017	1/19/2017	Human	USA
NA	Neuraminidase	KC883115	A/Minnesota/06/2011	2/19/2011	Human	USA
HA	Hemagglutinin	KC883116	A/Minnesota/06/2011	2/19/2011	Human	USA
HA	Hemagglutinin	KC891341	A/Minnesota/06/2012	3/20/2012	Human	USA
NA	Neuraminidase	KC891340	A/Minnesota/06/2012	3/20/2012	Human	USA
PA-N182	PA-N182 protein(535)	KX408650	A/Minnesota/06/2016	2/11/2016	Human	USA
PA-N155	PA-N155 protein(562)	KX408650	A/Minnesota/06/2016	2/11/2016	Human	USA
PA	Polymerase PA	KX408650	A/Minnesota/06/2016	2/11/2016	Human	USA
NA	Neuraminidase	KX408653	A/Minnesota/06/2016	2/11/2016	Human	USA
-N/A-	Hemagglutinin	EU885536	A/Minnesota/07/2008	3/19/2008	Human	USA
NA	Neuraminidase	KC883119	A/Minnesota/07/2011	1/4/2011	Human	USA
HA	Hemagglutinin	KC883120	A/Minnesota/07/2011	1/4/2011	Human	USA
NA	neuraminidase	CY216699	A/Minnesota/07/2017	1/24/2017	Human	USA
HA	hemagglutinin	CY216697	A/Minnesota/07/2017	1/24/2017	Human	USA
PA	polymerase PA	CY216696	A/Minnesota/07/2017	1/24/2017	Human	USA
PA-X	PA-X protein(+61)	CY216696	A/Minnesota/07/2017	1/24/2017	Human	USA
NP	nucleocapsid protein	CY216698	A/Minnesota/07/2017	1/24/2017	Human	USA
HA	Hemagglutinin	EU199369	A/Minnesota/08/2007	2/4/2007	Human	USA
HA	Hemagglutinin	KC883158	A/Minnesota/08/2011	3/18/2011	Human	USA
HA	Hemagglutinin	KM408943	A/Minnesota/08/2013	10/3/2013	Human	USA
HA	Hemagglutinin	KT274548	A/Minnesota/08/2014	6/12/2014	Human	USA
HA	Hemagglutinin	KY089381	A/Minnesota/08/2015	1/7/2015	Human	USA
PB2	Polymerase basic protein 2	KX005343	A/Minnesota/08/2016	1/19/2016	Human	USA
HA	Hemagglutinin	KP456604	A/Minnesota/09/2007	2/14/2007	Human	USA
NA	Neuraminidase	KC883434	A/Minnesota/09/2011	3/18/2011	Human	USA
NA	Neuraminidase	KC892240	A/Minnesota/09/2012	4/8/2012	Human	USA
NA	Neuraminidase	KM852982	A/Minnesota/09/2014	4/18/2014	Human	USA
PA	Polymerase acidic protein	KY044311	A/Minnesota/09/2016	1/20/2016	Human	USA
PA-X	Protein PA-X	KY044311	A/Minnesota/09/2016	1/20/2016	Human	USA
NA	neuraminidase	CY220945	A/Minnesota/09/2017	1/30/2017	Human	USA
PA-N182	PA-N182 protein(535)	CY220942	A/Minnesota/09/2017	1/30/2017	Human	USA
PA-N155	PA-N155 protein(562)	CY220942	A/Minnesota/09/2017	1/30/2017	Human	USA
PA	polymerase PA	CY220942	A/Minnesota/09/2017	1/30/2017	Human	USA
PB1-N40	PB1-N40 protein(718)	CY220941	A/Minnesota/09/2017	1/30/2017	Human	USA
PB1	polymerase PB1	CY220941	A/Minnesota/09/2017	1/30/2017	Human	USA
-N/A-	Hemagglutinin	EF473486	A/Minnesota/1/2006	3/13/2006	Human	USA
-N/A-	Neuraminidase	EU100500	A/Minnesota/1/2006	3/13/2006	Human	USA
HA	Hemagglutinin	KC882826	A/Minnesota/10/2010	9/1/2010	Human	USA
HA	Hemagglutinin	KC883435	A/Minnesota/10/2011	4/18/2011	Human	USA
NA	Neuraminidase	KC883436	A/Minnesota/10/2011	4/18/2011	Human	USA
HA	Hemagglutinin	KC892582	A/Minnesota/10/2012	5/3/2012	Human	USA
NA	Neuraminidase	KC892316	A/Minnesota/10/2012	5/3/2012	Human	USA
HA	Hemagglutinin	KM972885	A/Minnesota/10/2014	4/16/2014	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KX406625	A/Minnesota/10/2016	1/30/2016	Human	USA
PB1-N40	PB1-N40 protein(718)	KX406625	A/Minnesota/10/2016	1/30/2016	Human	USA
NS1	nonstructural protein 1	CY220667	A/Minnesota/10/2017	2/6/2017	Human	USA
PA	polymerase PA	CY220662	A/Minnesota/10/2017	2/6/2017	Human	USA
PA-X	PA-X protein(+61)	CY220662	A/Minnesota/10/2017	2/6/2017	Human	USA
PB2	polymerase PB2	CY220660	A/Minnesota/10/2017	2/6/2017	Human	USA
NP	Nucleoprotein	KJ942627	A/Minnesota/11/2010	2010	Human	USA
M1	Matrix protein 1	KJ942625	A/Minnesota/11/2010	2010	Human	USA
PB2	PB2 Polymerase (basic) protein 2	KJ942631	A/Minnesota/11/2010	2010	Human	USA
M2	Matrix protein 2	KJ942625	A/Minnesota/11/2010	2010	Human	USA
NA	Neuraminidase	KJ942626	A/Minnesota/11/2010	2010	Human	USA
HA	Hemagglutinin	KJ942624	A/Minnesota/11/2010	2010	Human	USA
PA-N182	PA-N182 protein(535)	KJ942629	A/Minnesota/11/2010	2010	Human	USA
PA-N155	PA-N155 protein(562)	KJ942629	A/Minnesota/11/2010	2010	Human	USA
PA-X	Protein PA-X	KJ942629	A/Minnesota/11/2010	2010	Human	USA
PA	Polymerase acidic protein	KJ942629	A/Minnesota/11/2010	2010	Human	USA
PB1-N40	PB1-N40 protein(718)	KJ942630	A/Minnesota/11/2010	2010	Human	USA
PB1-F2	Protein PB1-F2	KJ942630	A/Minnesota/11/2010	2010	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KJ942630	A/Minnesota/11/2010	2010	Human	USA
NS1	Non-structural protein 1	KJ942628	A/Minnesota/11/2010	2010	Human	USA
NA	Neuraminidase	KC882183	A/Minnesota/11/2011	4/19/2011	Human	USA
HA	Hemagglutinin	KC882184	A/Minnesota/11/2011	4/19/2011	Human	USA
HA	hemagglutinin	CY223429	A/Minnesota/11/2017	2/12/2017	Human	USA
PB2	polymerase PB2	CY223426	A/Minnesota/11/2017	2/12/2017	Human	USA
NA	Neuraminidase	KC882842	A/Minnesota/12/2010	12/7/2010	Human	USA
NA	Neuraminidase	KC883161	A/Minnesota/12/2011	5/8/2011	Human	USA
HA	Hemagglutinin	KC883160	A/Minnesota/12/2011	5/8/2011	Human	USA
HA	Hemagglutinin	KM972811	A/Minnesota/12/2014	5/2/2014	Human	USA
NS1	nonstructural protein 1	CY222905	A/Minnesota/12/2017	2/16/2017	Human	USA
NA	Neuraminidase	KC882846	A/Minnesota/13/2010	11/25/2010	Human	USA
HA	Hemagglutinin	KP456260	A/Minnesota/13/2010	11/25/2010	Human	USA
M2	Matrix protein 2	KX415067	A/Minnesota/13/2016	2/10/2016	Human	USA
HA	hemagglutinin	CY222893	A/Minnesota/13/2017	2/17/2017	Human	USA
NS1	nonstructural protein 1	CY222897	A/Minnesota/13/2017	2/17/2017	Human	USA
-N/A-	Hemagglutinin	FJ179354	A/Minnesota/14/2008	3/10/2008	Human	USA
HA	Hemagglutinin	KC782079	A/Minnesota/14/2009	10/1/2009	Human	USA
PB2	PB2 Polymerase (basic) protein 2	KJ620412	A/Minnesota/14/2012	12-Dec	Human	USA
NP	Nucleocapsid protein	KJ620416	A/Minnesota/14/2012	12-Dec	Human	USA
M1	Matrix protein 1	KJ620418	A/Minnesota/14/2012	12-Dec	Human	USA
M2	Matrix protein 2	KJ620418	A/Minnesota/14/2012	12-Dec	Human	USA
PA-N182	PA-N182 protein(535)	KJ620414	A/Minnesota/14/2012	12-Dec	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	KJ620413	A/Minnesota/14/2012	12-Dec	Human	USA
PB1-F2	PB1-F2 protein	KJ620413	A/Minnesota/14/2012	12-Dec	Human	USA
PB1-N40	PB1-N40 protein(718)	KJ620413	A/Minnesota/14/2012	12-Dec	Human	USA
NA	Neuraminidase	KJ620417	A/Minnesota/14/2012	12-Dec	Human	USA
NEP	Nuclear export protein	KJ620419	A/Minnesota/14/2012	12-Dec	Human	USA
NS1	Nonstructural protein 1	KJ620419	A/Minnesota/14/2012	12-Dec	Human	USA
HA	Hemagglutinin	KJ620415	A/Minnesota/14/2012	12-Dec	Human	USA
PA	Polymerase PA	KJ620414	A/Minnesota/14/2012	12-Dec	Human	USA
PA-X	PA-X protein	KJ620414	A/Minnesota/14/2012	12-Dec	Human	USA
